TRADE_CODE,ISIN,EMITENT_FULL_NAME,ISSUE_AMOUNT,LIST_SECTION,INSTRUMENT_TYPE,INSTRUMENT_CATEGORY
GAZAP,RU000A0ZYHF5,"Публичное акционерное общество ""ГАЗ""",1453500,Третий уровень,Акция привилегированная,акции привилегированные
GAZT,RU000A0JS199,"Публичное акционерное общество ""ГАЗ-Тек""",471428300,Третий уровень,Акция обыкновенная,акции обыкновенные
GAZS,RU000A0JQG78,"Публичное акционерное общество ""ГАЗ-сервис""",206508967,Третий уровень,Акция обыкновенная,акции обыкновенные
GAZC,RU000A0JQG86,"Публичное акционерное общество ""ГАЗКОН""",225381601,Третий уровень,Акция обыкновенная,акции обыкновенные
GTRK,RU000A0ZYD22,"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""",58462120,Третий уровень,Акция обыкновенная,акции обыкновенные
RTGZ,RU000A0JPG04,"Публичное акционерное общество ""Газпром газораспределение Ростов-на-Дону""",120246,Третий уровень,Акция обыкновенная,акции обыкновенные
SIBN,RU0009062467,"Публичное акционерное общество ""Газпром нефть""",4741299639,Третий уровень,Акция обыкновенная,акции обыкновенные
GCHE,RU000A0JL4R1,"Публичное акционерное общество ""Группа Черкизово""",42222042,Третий уровень,Акция обыкновенная,акции обыкновенные
RBCM,RU000A0JR6A6,"Публичное акционерное общество ""Группа компаний РБК""",365631010,Третий уровень,Акция обыкновенная,акции обыкновенные
DVEC,RU000A0JP2W1,"Публичное акционерное общество ""Дальневосточная энергетическая компания""",17223107804,Третий уровень,Акция обыкновенная,акции обыкновенные
DSKY,RU000A0JSQ90,"Публичное акционерное общество ""Детский мир""",739000000,Третий уровень,Акция обыкновенная,акции обыкновенные
EELT,RU000A0JWW54,"Публичное акционерное общество ""Европейская Электротехника""",551813000,Третий уровень,Акция обыкновенная,акции обыкновенные
ZVEZ,RU0009091300,"Публичное акционерное общество ""ЗВЕЗДА""",562020480,Третий уровень,Акция обыкновенная,акции обыкновенные
ZILL,RU0009086193,"Публичное акционерное общество ""Завод имени И.А. Лихачева""",2659962,Третий уровень,Акция обыкновенная,акции обыкновенные
RUSI,RU000A0JQ9W5,"Публичное акционерное общество ""ИНВЕСТИЦИОННАЯ КОМПАНИЯ ИК РУСС-ИНВЕСТ""",109000000,Третий уровень,Акция обыкновенная,акции обыкновенные
INGR,RU000A0DJ9B4,"Публичное акционерное общество ""ИНГРАД""",41220793,Третий уровень,Акция обыкновенная,акции обыкновенные
IGST,RU0002155292,"Публичное акционерное общество ""Ижсталь""",800729,Третий уровень,Акция обыкновенная,акции обыкновенные
IGSTP,RU0002155300,"Публичное акционерное общество ""Ижсталь""",266910,Третий уровень,Акция привилегированная,акции привилегированные
KLSB,RU000A0DKZK3,"Публичное акционерное общество ""Калужская сбытовая компания""",91487347,Третий уровень,Акция обыкновенная,акции обыкновенные
KOGK,RU0002155359,"Публичное акционерное общество ""Коршуновский горно-обогатительный комбинат""",250126,Третий уровень,Акция обыкновенная,акции обыкновенные
KRSB,RU000A0HMLY1,"Публичное акционерное общество ""Красноярскэнергосбыт""",596039612,Третий уровень,Акция обыкновенная,акции обыкновенные
KRSBP,RU000A0HMLZ8,"Публичное акционерное общество ""Красноярскэнергосбыт""",168993328,Третий уровень,Акция привилегированная,акции привилегированные
KAZT,RU000A0B9BV2,"Публичное акционерное общество ""КуйбышевАзот""",234147999,Третий уровень,Акция обыкновенная,акции обыкновенные
KAZTP,RU000A0B9BW0,"Публичное акционерное общество ""КуйбышевАзот""",3696506,Третий уровень,Акция привилегированная,акции привилегированные
KGKC,RU000A0JP120,"Публичное акционерное общество ""Курганская генерирующая компания""",122453406,Третий уровень,Акция обыкновенная,акции обыкновенные
KGKCP,RU000A0JP138,"Публичное акционерное общество ""Курганская генерирующая компания""",14393052,Третий уровень,Акция привилегированная,акции привилегированные
LVHK,RU000A0JT7Y2,"Публичное акционерное общество ""Левенгук""",52940000,Третий уровень,Акция обыкновенная,акции обыкновенные
MGKL,RU000A0JVJQ8,"Публичное акционерное общество ""МГКЛ""",872900000,Третий уровень,Акция обыкновенная,акции обыкновенные
MSTT,RU0009177331,"Публичное акционерное общество ""МОСТОТРЕСТ""",282215500,Третий уровень,Акция обыкновенная,акции обыкновенные
MGNT,RU000A0JKQU8,"Публичное акционерное общество ""Магнит""",101911355,Третий уровень,Акция обыкновенная,акции обыкновенные
MRSB,RU000A0D9AJ7,"Публичное акционерное общество ""Мордовская энергосбытовая компания""",1345037710,Третий уровень,Акция обыкновенная,акции обыкновенные
MGTS,RU0009036461,"Публичное акционерное общество ""Московская городская телефонная сеть""",79708751,Третий уровень,Акция обыкновенная,акции обыкновенные
MGTSP,RU0009036479,"Публичное акционерное общество ""Московская городская телефонная сеть""",15514042,Третий уровень,Акция привилегированная,акции привилегированные
KROT,RU0008913850,"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""",9217583,Третий уровень,Акция обыкновенная,акции обыкновенные
KROTP,RU0008913868,"Публичное акционерное общество ""Московская кондитерская фабрика ""Красный Октябрь""",1474549,Третий уровень,Акция привилегированная,акции привилегированные
NFAZ,RU0009115604,"Публичное акционерное общество ""НЕФАЗ""",8038896,Третий уровень,Акция обыкновенная,акции обыкновенные
VJGZ,RU0009046460,"Публичное акционерное общество ""ННК-Варьеганнефтегаз""",18091110,Третий уровень,Акция обыкновенная,акции обыкновенные
VJGZP,RU0007964789,"Публичное акционерное общество ""ННК-Варьеганнефтегаз""",5883050,Третий уровень,Акция привилегированная,акции привилегированные
NSVZ,RU000A0JQLB6,"Публичное акционерное общество ""Наука-Связь""",15701562,Третий уровень,Акция обыкновенная,акции обыкновенные
UWGN,RU000A0JVBT9,"Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""",2905885544,Третий уровень,Акция обыкновенная,акции обыкновенные
NKSH,RU0009100515,"Публичное акционерное общество ""Нижнекамскшина""",63731171,Третий уровень,Акция обыкновенная,акции обыкновенные
NKHP,RU000A0BLWD7,"Публичное акционерное общество ""Новороссийский комбинат хлебопродуктов""",67597000,Третий уровень,Акция обыкновенная,акции обыкновенные
NMTP,RU0009084446,"Публичное акционерное общество ""Новороссийский морской торговый порт""",19259815400,Третий уровень,Акция обыкновенная,акции обыкновенные
UNAC,RU000A0JPLZ7,"Публичное акционерное общество ""Объединенная авиастроительная корпорация""",532939780119,Третий уровень,Акция обыкновенная,акции обыкновенные
PAZA,RU0009083240,"Публичное акционерное общество ""Павловский автобус""",1567904,Третий уровень,Акция обыкновенная,акции обыкновенные
PMSB,RU000A0ET123,"Публичное акционерное общество ""Пермская энергосбытовая компания""",36210960,Третий уровень,Акция обыкновенная,акции обыкновенные
PMSBP,RU000A0ET156,"Публичное акционерное общество ""Пермская энергосбытовая компания""",11353500,Третий уровень,Акция привилегированная,акции привилегированные
CHGZ,RU0009082291,"Публичное акционерное общество ""РН-Западная Сибирь""",26771420,Третий уровень,Акция обыкновенная,акции обыкновенные
ROST,RU000A0JP922,"Публичное акционерное общество ""РОСИНТЕР РЕСТОРАНТС ХОЛДИНГ""",16305334,Третий уровень,Акция обыкновенная,акции обыкновенные
RKKE,RU0009095939,"Публичное акционерное общество ""Ракетно-космическая корпорация ""Энергия"" имени С.П. Королёва""",1807401,Третий уровень,Акция обыкновенная,акции обыкновенные
KUBE,RU0009046767,"Публичное акционерное общество ""Россети Кубань""",334657837,Третий уровень,Акция обыкновенная,акции обыкновенные
LSNG,RU0009034490,"Публичное акционерное общество ""Россети Ленэнерго""",8523785320,Третий уровень,Акция обыкновенная,акции обыкновенные
LSNGP,RU0009092134,"Публичное акционерное общество ""Россети Ленэнерго""",93264311,Третий уровень,Акция привилегированная,акции привилегированные
MRKK,RU000A0JPPQ7,"Публичное акционерное общество ""Россети Северный Кавказ""",2093354170,Третий уровень,Акция обыкновенная,акции обыкновенные
MRKY,RU000A0JPPG8,"Публичное акционерное общество ""Россети Юг""",151641426354,Третий уровень,Акция обыкновенная,акции обыкновенные
ROLO,RU000A0JU1B0,"Публичное акционерное общество ""Русолово""",30001000000,Третий уровень,Акция обыкновенная,акции обыкновенные
RZSB,RU000A0D9AF5,"Публичное акционерное общество ""Рязанская энергетическая сбытовая компания""",206940220,Третий уровень,Акция обыкновенная,акции обыкновенные
SPBE,RU000A0JQ9P9,"Публичное акционерное общество ""СПБ Биржа""",132843907,Третий уровень,Акция обыкновенная,акции обыкновенные
KRKN,RU0009100408,"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""",748012,Третий уровень,Акция обыкновенная,акции обыкновенные
KRKNP,RU0009100416,"Публичное акционерное общество ""Саратовский нефтеперерабатывающий завод""",249337,Третий уровень,Акция привилегированная,акции привилегированные
SARE,RU0009100754,"Публичное акционерное общество ""Саратовэнерго""",4865127996,Третий уровень,Акция обыкновенная,акции обыкновенные
SAREP,RU0009100762,"Публичное акционерное общество ""Саратовэнерго""",1493316000,Третий уровень,Акция привилегированная,акции привилегированные
